,CommonName,SciName,Family,About,Audios
1067,Spectacled finch,Callacanthis burtoni,Fringillidae,"The spectacled finch is a species of finch in the family Fringillidae. It is found in temperate northern regions of the Indian subcontinent, ranging across Afghanistan, India, Nepal, and Pakistan. Its natural habitat is temperate forests with a lush landscape.",https://xeno-canto.org/490400/download
1068,,,,,
1069,Spot-bellied eagle-owl,Bubo nipalensis,Strigidae,"The spot-bellied eagle-owl, also known as the forest eagle-owl is a large bird of prey with a formidable appearance. It is a forest-inhabiting species found in the Indian Subcontinent and Southeast Asia. This species is considered part of a superspecies with the barred eagle-owl, which looks quite similar but is allopatric in distribution, replacing the larger spot-bellied species in the southern end of the Malay Peninsula and the larger island in Southeast Asia extending down to Borneo.",https://xeno-canto.org/255682/download
1070,Spot-billed pelican,Pelecanus philippensis,Pelecanidae,"The spot-billed pelican or grey pelican, is a member of the pelican family. It breeds in southern Asia from southern Pakistan across India east to Indonesia. It is a bird of large inland and coastal waters, especially large lakes. At a distance they are difficult to differentiate from other pelicans in the region although it is smaller but at close range the spots on the upper mandible, the lack of bright colours and the greyer plumage are distinctive. In some areas these birds nest in large colonies close to human habitations.",https://xeno-canto.org/769895/download
1071,,,,,
1072,Spot-breasted parrotbill,Paradoxornis guttaticollis,Family,The spot-breasted parrotbill is a species of bird in the family Sylviidae.,https://xeno-canto.org/548390/download
1073,Spot-breasted scimitar babbler,Pomatorhinus mcclellandi,Timaliidae,The spot-breasted scimitar babbler is a species of bird in the family Timaliidae.,https://xeno-canto.org/459665/download
1074,Spot-throated babbler,Pellorneum albiventre,Pellorneidae,"The spot-throated babbler is a species of bird in the family Pellorneidae. It is found mainly in Eastern Bangladesh, Bhutan, Northeast India, Yunnan, Myanmar and Vietnam.",https://xeno-canto.org/253056/download
1075,Spot-winged grosbeak,Mycerobas melanozanthos,Fringillidae,"The spot-winged grosbeak is a species of finch in the family Fringillidae, found in middle to higher elevations. It is found in the Indian subcontinent and parts of Southeast Asia. Its range includes Bhutan, India, Laos, Myanmar, Nepal, Pakistan, Thailand, Tibet and Vietnam. Its natural habitats are subtropical or tropical dry forests and subtropical or tropical moist montane forests.",https://xeno-canto.org/253623/download
1076,Spot-winged rosefinch,Carpodacus rhodopeplus,Fringillidae,"The spot-winged rosefinch, also known as the spotted rosefinch, is a species of finch in the family Fringillidae. It is found in India and Nepal. The Sharpe's rosefinch was formerly considered conspecific. Its natural habitat is subtropical or tropical high-altitude shrubland.",https://xeno-canto.org/547777/download
1077,Spot-winged starling,Saroglossa spilopterus,Sturnidae,"The spot-winged starling is a species of starling in the family Sturnidae. It breeds in northern India and western Nepal; it winters in Northeast India, north-eastern Bangladesh and Myanmar. Its natural habitats are subtropical or tropical moist lowland forest and subtropical or tropical moist montane forest. This species was first bred in the UK by Mrs K.M. Scamell in 1969. A detailed account of the breeding can be found in the January/February 1970 edition of Foreign Birds, the journal of the Foreign Bird League.",https://xeno-canto.org/330802/download
1078,Spotted bush warbler,Locustella thoracica,Family,The spotted bush warbler is a species of Old World warbler in the family Locustellidae.,https://xeno-canto.org/116913/download
1079,Spotted crake,Porzana porzana,Rallidae,The spotted crake is a small waterbird of the family Rallidae. The scientific name is derived from Venetian terms for small rails.,https://xeno-canto.org/92000/download
1080,Spotted dove,Spilopelia chinensis,Columbidae,The spotted dove is a small and somewhat long-tailed pigeon that is a common resident breeding bird across its native range on the Indian subcontinent and in Southeast Asia. The species has been introduced to many parts of the world and feral populations have become established.,https://xeno-canto.org/484952/download
1081,Spotted elachura,Elachura formosa,Elachuridae,"The spotted elachura or spotted wren-babbler is a species of passerine bird found in the forests of the eastern Himalayas and Southeast Asia. In the past it was included in the babbler genus Spelaeornis as S. formosus, but molecular phylogenetic studies in 2014 provided evidence that it was distinct from the babblers and part of a basal lineage with no other close living relatives within the passerine bird clade Passerida. This led to the creation of a new family, Elachuridae, to accommodate just one species.",https://xeno-canto.org/426534/download
1082,Spotted flycatcher,Muscicapa striata,Muscicapidae,"The spotted flycatcher is a small passerine bird in the Old World flycatcher family. It breeds in most of Europe and in the Palearctic to Siberia, and is migratory, wintering in Africa and south western Asia. It is declining in parts of its range.",https://xeno-canto.org/100081/download
1083,Spotted forktail,Enicurus maculatus,Muscicapidae,"The spotted forktail is a species of bird in the family Muscicapidae. It is found in the Himalayas and the hills of Northeast India, Bangladesh, Myanmar, and southern China including Yunnan. Birds of this species are 25 cm with a long tail. The sexes are alike, having a white forehead and a black crown and nape, a black back spotted white, and a broad white wing bar. The tail is deeply forked, graduated black and white. The white spotted back easily identifies this species from other similar sized forktail. Its call is a shrill, screechy KREE, mostly given in flight; it also makes some shrill, squeaky notes while perched. It breeds mostly at 1200–3600 m, and descends to about 600 m in winter. Its natural habitat is subtropical or tropical moist montane forests, where it is found in boulder-strewn torrents, forest streams, and roadside canals.",https://xeno-canto.org/138713/download
1084,Spotted laughingthrush,Ianthocincla ocellata,Leiothrichidae,"The spotted laughingthrush is a bird species in the family Leiothrichidae. It is found in Bhutan, China, India, Myanmar, and Nepal. Its natural habitat is subtropical or tropical moist montane forests.",https://xeno-canto.org/550798/download
1085,Spotted owlet,Athene brama,Strigidae,"The spotted owlet is a small owl which breeds in tropical Asia from mainland India to Southeast Asia. A common resident of open habitats including farmland and human habitation, it has adapted to living in cities. They roost in small groups in the hollows of trees or in cavities in rocks or buildings. It nests in a hole in a tree or building, laying 3–5 eggs. They are often found near human habitation. The species shows great variation including clinal variation in size and forms a superspecies with the very similar little owl.",https://xeno-canto.org/424129/download
1086,Spotted redshank,Tringa erythropus,Scolopacidae,"The spotted redshank is a wader (shorebird) in the large bird family Scolopacidae. The genus name Tringa is the New Latin name given to the green sandpiper by Aldrovandus in 1599 based on Ancient Greek trungas, a thrush-sized, white-rumped, tail-bobbing wading bird mentioned by Aristotle. The specific erythropus is from Ancient Greek eruthros, ""red"", and pous, ""foot"".",https://xeno-canto.org/99930/download
1087,Spotted sandgrouse,Pterocles senegallus,Pteroclidae,"The spotted sandgrouse is a species of ground dwelling bird in the family Pteroclidae. It is found in arid regions of northern and eastern Africa and across the Middle East and parts of Asia as far east as northwest India. It is a gregarious, diurnal bird and small flocks forage for seed and other vegetable matter on the ground, flying once a day to a waterhole for water. In the breeding season pairs nest apart from one another, the eggs being laid in a depression on the stony ground. The chicks leave the nest soon after hatching and eat dry seed, the water they need being provided by the male which saturates its belly feathers with water at the waterhole. The spotted sandgrouse is listed as being of ""least concern"" by the International Union for Conservation of Nature in its Red List of Threatened Species.",https://xeno-canto.org/362242/download
1088,Square-tailed bulbul,Hypsipetes ganeesa,Family,"The square-tailed bulbul is a species of songbird in the bulbul family, Pycnonotidae.",https://xeno-canto.org/178307/download
1089,Sri Lanka bay owl,Phodilus assimilis,Tytonidae,"The Sri Lanka bay owl is a species of bay owl in the family Tytonidae. It is endemic to the island of Sri Lanka and the Western Ghats in Kerala, South Western India. It was considered a subspecies of the Oriental bay owl but is now treated as a full species due to its distinctive call, plumage and disjunct distribution.",https://xeno-canto.org/414486/download
1090,Sri Lanka frogmouth,Batrachostomus moniliger,Podargidae,"The Sri Lanka frogmouth, Sri Lankan frogmouth or Ceylon frogmouth is a small frogmouth found in the Western Ghats of south India and Sri Lanka. Related to the nightjars, it is nocturnal and is found in forest habitats. The plumage coloration resembles that of dried leaves and the bird roosts quietly on branches, making it difficult to see. Each has a favourite roost that it uses regularly unless disturbed. It has a distinctive call that is usually heard at dawn and dusk. The sexes differ slightly in plumage.",https://xeno-canto.org/167840/download
1091,,,,,
1092,Steppe eagle,Aquila nipalensis,Accipitridae,"The  steppe eagle is a large bird of prey. Like all eagles, it belongs to the family Accipitridae. The steppe eagle’s well-feathered legs illustrate it to be a member of the subfamily Aquilinae, also known as the “booted eagles”. This species was once considered to be closely related to the non-migratory tawny eagle and the two forms have previously been treated as conspecific. They were split based on pronounced differences in morphology and anatomy; two molecular studies, each based on a very small number of genes, indicate that the species are distinct but disagree over how closely related they are.",https://xeno-canto.org/112772/download
1093,Stork-billed kingfisher,Pelargopsis capensis,Alcedinidae,"The stork-billed kingfisher, is a tree kingfisher which is widely but sparsely distributed in the tropical Indian subcontinent and Southeast Asia, from India to Indonesia. This kingfisher is resident throughout its range.",https://xeno-canto.org/425054/download
1094,Streak-breasted scimitar babbler,Pomatorhinus ruficollis,Timaliidae,The streak-breasted scimitar babbler is a species of bird in the family Timaliidae.,https://xeno-canto.org/426813/download
1095,Streak-throated barwing,Actinodura waldeni,Leiothrichidae,"The streak-throated barwing is a species of bird in the family Leiothrichidae. It is found in western Yunnan, southern Tibet, Northeast India and Myanmar.",https://xeno-canto.org/157686/download
1096,Streak-throated swallow,Petrochelidon fluvicola,Hirundinidae,"The streak-throated swallow or the Indian cliff swallow is a species of swallow found as Native in South Asia in the countries of Afghanistan, Bangladesh, India, Nepal and Pakistan. It occurs as a Vagrant in the Maldives, Sri Lanka, and the Middle East.",https://xeno-canto.org/79879/download
1097,Streak-throated woodpecker,Picus xanthopygaeus,Picidae,The streak-throated woodpecker is a species of woodpecker found in the Indian subcontinent.,https://xeno-canto.org/138655/download
1098,Streaked laughingthrush,Trochalopteron lineatum,Leiothrichidae,"The streaked laughingthrush is a species of bird in the family Leiothrichidae. It is commonly found in the northern regions of the Indian subcontinent and some adjoining areas, ranging across Afghanistan, Bhutan, India, Nepal, Pakistan, Russia, and Tajikistan.",https://xeno-canto.org/414508/download
1099,Streaked rosefinch,Carpodacus rubicilloides,Fringillidae,The streaked rosefinch is a true finch species. It is found on the Himalayan Plateau. Its natural habitat is boreal shrubland.,https://xeno-canto.org/824423/download
1100,,,,,
1101,Streaked spiderhunter,Arachnothera magna,Nectariniidae,The streaked spiderhunter is a species of bird in the family Nectariniidae.,https://xeno-canto.org/368759/download
1102,Streaked weaver,Ploceus manyar,Ploceidae,"The streaked weaver is a species of weaver bird found in South Asia and South-east Asia in the countries of Bangladesh, Bhutan, Cambodia, China, Egypt, India, Indonesia, Myanmar, Nepal, Pakistan, Singapore, Sri Lanka, Thailand, Vietnam and also introduced in Qatar and United Arab Emirates (UAE). These are not as common as the baya weaver but are similar looking but have streaked underparts.",https://xeno-canto.org/580925/download
1103,Streaked wren-babbler,Napothera brevicaudata,,The streaked wren-babbler is a species of bird in the family Pellorneidae.,https://xeno-canto.org/459653/download
1104,Striated babbler,Argya earlei,Leiothrichidae,The striated babbler is a species of bird in the family Leiothrichidae. It is found in southern Asia from Pakistan to Myanmar.,https://xeno-canto.org/426976/download
1105,Striated bulbul,Pycnonotus striatus,Pycnonotidae,"The striated bulbul is a species of songbird in the bulbul family, Pycnonotidae.",https://xeno-canto.org/243545/download
1106,Striated grassbird,Megalurus palustris,Locustellidae,"The striated grassbird is an ""Old World warbler"" species in the family Locustellidae. It was formerly placed in the family Sylviidae. It is now the only species placed in the genus Megalurus.",https://xeno-canto.org/117025/download
1107,Striated laughingthrush,Grammatoptila striatus,Leiothrichidae,"The striated laughingthrush is a passerine bird in the family Leiothrichidae. It was at one time placed in the genus Garrulax but following the publication of a comprehensive molecular phylogenetic study in 2018, it was moved to be the only species in the resurrected genus Grammatoptila.",https://xeno-canto.org/104368/download
1108,Striated prinia,Prinia criniger,Cisticolidae,The Himalayan prinia is a species of bird in the family Cisticolidae. It was formerly lumped in with the Chinese prinia as the striated prinia.,https://xeno-canto.org/420162/download
1109,,,,,
1110,Striated yuhina,Yuhina castaniceps,Zosteropidae,The striated yuhina is a bird species in the white-eye family Zosteropidae.,https://xeno-canto.org/424486/download
1111,Striolated bunting,Emberiza striolata,Emberizidae,"The striolated bunting is a passerine bird in the bunting family Emberizidae, a group now separated by most modern authors from the finches, Fringillidae.",https://xeno-canto.org/149564/download
1112,,,,,
1113,Stripe-throated yuhina,Yuhina gularis,Zosteropidae,The stripe-throated yuhina is a bird species in the white-eye family Zosteropidae.,https://xeno-canto.org/427015/download
1114,Striped laughingthrush,Trochalopteron virgatum,Leiothrichidae,The striped laughingthrush is a species of bird in the family Leiothrichidae.,https://xeno-canto.org/455255/download
1115,Sulphur-bellied warbler,Phylloscopus griseolus,Phylloscopidae,The sulphur-bellied warbler is a species of leaf-warbler found in the Palearctic region They were earlier also known by the name of olivaceous leaf-warbler.,https://xeno-canto.org/98658/download
1116,Sultan tit,Melanochlora sultanea,Paridae,"The sultan tit is a large songbird with a yellow crest, dark bill, black upperparts plumage and yellow underparts. The sexes are similar. The female has greenish black upperparts and yellowish throat. The young bird is duller than the adult and has a shorter crest. It is the only member of the monotypic genus Melanochlora, which is fairly distinct from the Parus tits with the nearest relative being the monotypic Sylviparus.",https://xeno-canto.org/426694/download
1117,Swamp francolin,Francolinus gularis,Phasianidae,"The swamp francolin, also called swamp partridge, is a partridge species native to the foothills of the Himalayas in northern India and Nepal. It is considered extinct in the Ganges-Brahmaputra delta in Bangladesh. It is listed as Vulnerable on the IUCN Red List.",https://xeno-canto.org/117026/download
1118,Swamp grass babbler,Laticilla cinerascens,Pellorneidae,The swamp grass babbler or swamp prinia is a small bird of the Indian subcontinent. Some authorities consider it a subspecies of the rufous-vented grass babbler.,https://xeno-canto.org/292617/download
1119,,,,,
1120,,,,,
1121,,,,,
1122,Sykes's lark,Galerida deva,Alaudidae,"Sykes's lark is a species of lark found in the dry open country of India. Its distribution is mainly restricted to central India, although stray records have been found elsewhere on the sub-continent. It is identified by its prominent crest and its overall rufous colouration. It has streaks on its breast which are less prominent than those found in the Oriental skylark.",https://xeno-canto.org/89747/download
1123,Sykes's nightjar,Caprimulgus mahrattensis,Caprimulgidae,Sykes's nightjar or the Sindh nightjar is a nightjar species found in northwestern South Asia.,https://xeno-canto.org/176135/download
1124,Sykes's warbler,Iduna rama,Acrocephalidae,"Sykes's warbler is an Old World warbler in the tree warbler family. It was formerly considered a subspecies of the booted warbler, but is now considered a full species. Its breeding range is from northeast Arabia to Turkestan, West China and Afghanistan. Like the booted warbler, many populations of the species migrate in winter to the Indian subcontinent as far south as Sri Lanka.",https://xeno-canto.org/44980/download
1125,,,,,
1126,Taiga flycatcher,Ficedula albicilla,Muscicapidae,"The taiga flycatcher or red-throated flycatcher is a migratory bird in the family Muscicapidae. The species was first described by Peter Simon Pallas in 1811. The female has brown upper parts with a blackish tail flanked by white. The breast is buffish with underparts mostly white. The male has ear coverts and sides of the neck blue-tinged grey with breeding males having orange-red coloration on the throats. Unlike the taiga flycatcher, the female of the similar red-breasted flycatcher has brown tail while the red colour in breeding males extend up to the breast in red-breasted flycatcher. It breeds in northern Eurasia from eastern Russia to Siberia and Mongolia. It is a winter visitor to South and South-east Asia in Bangladesh, Bhutan, India, Cambodia, Laos, Myanmar, Nepal, Malaysia, Thailand, China, Vietnam, and Japan. Its natural habitat is taiga forest. It is a rare vagrant to western Europe.",https://xeno-canto.org/525250/download
1127,,,,,
1128,Tawny fish owl,Ketupa flavipes,Strigidae,"The tawny fish owl is a fish owl species in the family known as typical owls, Strigidae. It is native from southern Nepal to Bangladesh, Vietnam and China. Due to its wide geographical distribution, it is listed as Least Concern on the IUCN Red List.",https://xeno-canto.org/322364/download
1129,,,,,
1130,Tawny pipit,Anthus campestris,Motacillidae,"The tawny pipit is a medium-large passerine bird which breeds in much of the central Palearctic from northwest Africa and Portugal to Central Siberia and on to Inner Mongolia. It is a migrant moving in winter to tropical Africa and the Indian Subcontinent. The scientific name is from Latin. Anthus is the name for a small bird of grasslands, and the specific campestris means ""of the fields"".",https://xeno-canto.org/98667/download
1131,Tawny-bellied babbler,Dumetia hyperythra,Timaliidae,"The tawny-bellied babbler also known in older Indian works as the rufous-bellied babbler is a small babbler that forages in groups in low scrub forests. Like other members of the large Old World babbler family they are passerine birds characterised by soft fluffy plumage. Foraging in small groups that skulk inside bushes there are three subspecies within the Indian Subcontinent. The nominate hyperythra found in northern and eastern India is uniformly brown underneath while albogularis of the western Indian peninsula is white throated. The population in Sri Lanka, phillipsi, is also white throated but is paler underneath and has a larger bill.",https://xeno-canto.org/397777/download
1132,Tawny-breasted wren-babbler,Spelaeornis longicaudatus,Family,The tawny-breasted wren-babbler is a species of bird in the family Timaliidae.,https://xeno-canto.org/426905/download
1133,Temminck's stint,Calidris temminckii,Scolopacidae,"Temminck's stint is a small wader. This bird's common name and Latin binomial commemorate the Dutch naturalist Coenraad Jacob Temminck. The genus name is from Ancient Greek kalidris or skalidris, a term used by Aristotle for some grey-coloured waterside birds.",https://xeno-canto.org/452742/download
1134,Temminck's tragopan,Tragopan temminckii,Phasianidae,"Temminck's tragopan is a medium-sized, approximately 64 cm long, pheasant in the genus Tragopan. The male is a stocky red-and-orange bird with white-spotted plumage, black bill and pink legs. He has a bare blue facial skin, inflatable dark-blue lappet and horns. To the female, she is white-spotted brown with blue circular eye skin.",https://xeno-canto.org/201807/download
1135,,,,,
1136,Thick-billed flowerpecker,Dicaeum agile,Dicaeidae,The  thick-billed flowerpecker  is a tiny bird in the flowerpecker group. They feed predominantly on fruits and are active birds that are mainly seen in the tops of trees in forests. It is a resident bird with a wide distribution across tropical southern Asia from India east to Indonesia and Timor with several populations recognized as subspecies some of which are sometimes treated as full species.,https://xeno-canto.org/499681/download
1137,Thick-billed green pigeon,Treron curvirostra,Columbidae,The thick-billed green pigeon is a species of bird in the family Columbidae.,https://xeno-canto.org/474702/download
1138,Thick-billed warbler,Arundinax aedon,Acrocephalidae,"The thick-billed warbler breeds in the temperate east Palearctic. South Siberia to West Mongolia.It is migratory, wintering in tropical South Asia and South-east Asia. It is a very rare vagrant to western Europe.",https://xeno-canto.org/369272/download
1139,Tibetan blackbird,Turdus maximus,Turdidae,"The Tibetan blackbird is a member of the thrush family Turdidae. It was formerly considered a subspecies of the common blackbird. It is found in the Himalayas from northern Pakistan to southeastern Tibet. It is strikingly different from the common blackbird, being relatively large at 23–28 centimetres length. It also differs from the common blackbird by its complete lack of eye-ring and reduced song.",https://xeno-canto.org/105305/download
1140,,,,,
1141,Tibetan lark,Melanocorypha maxima,Alaudidae,"The Tibetan lark is a species of lark in the family Alaudidae found on the Tibetan plateau from north-western India to central China. Alternate names for this species include the Asiatic lark, long-billed calandra lark and long-billed lark.",https://xeno-canto.org/824424/download
1142,,,,,
1143,Tibetan sandgrouse,Syrrhaptes tibetanus,Pteroclidae,"The  Tibetan sandgrouse  is a large bird in the sandgrouse family. The genus name Syrrhaptes is from Ancient Greek surrhaptos, ""sewn together"" and tibetanus is from the type locality, Tibet.",https://xeno-canto.org/824426/download
1144,Tibetan serin,Spinus thibetanus,Fringillidae,"The Tibetan serin or Tibetan siskin, is a true finch species.",https://xeno-canto.org/327877/download
1145,,,,,
1146,Tickell's blue flycatcher,Cyornis tickelliae,Muscicapidae,"Tickell's blue flycatcher is a small passerine bird in the flycatcher family. This is an insectivorous species which breeds in tropical Asia, from the Indian Subcontinent eastwards to Bangladesh and western Myanmar. The Indochinese blue flycatcher was formerly considered conspecific. They are blue on the upperparts and the throat and breast are rufous. They are found in dense scrub to forest habitats.",https://xeno-canto.org/424131/download
1147,Tickell's leaf warbler,Phylloscopus affinis,Phylloscopidae,"Tickell's leaf warbler is a leaf warbler found in Asia in the countries of Bangladesh, Bhutan, China, India, Myanmar, Nepal, Pakistan and Thailand. The species has a yellowish underside and super-cilium. Like other leaf warblers it feeds mostly on insects by gleaning and short sallies. An active bird, it prefers the canopy and low shrubbery and can be difficult to track as it moves actively from branch to branch, acrobatically exploring the underside of leaves and twigs. The clear yellowish undersides and lack of a wing bar can be used to tell it apart from similar species. It has slim dark legs with largely pale lower mandible and grayish wing panel.",https://xeno-canto.org/44898/download
1148,Tickell's thrush,Turdus unicolor,Turdidae,"Tickell's thrush is a passerine bird in the thrush family Turdidae. It is common in open forest in the Himalayas, and migrates seasonally into peninsular India.",https://xeno-canto.org/138669/download
1149,Tree pipit,Anthus trivialis,Motacillidae,"The tree pipit is a small passerine bird which breeds across most of Europe and the Palearctic as far East as the East Siberian Mountains. It is a long-distance migrant moving in winter to Africa and southern Asia. The scientific name is from Latin. Anthus is the name for a small bird of grasslands, and the specific  trivialis means ""common"", from trivium, ""public street"".",https://xeno-canto.org/684288/download
1150,Tricoloured munia,Lonchura malacca,Estrildidae,"The tricoloured munia is an estrildid finch, native to Bangladesh, India, Sri Lanka, and southern China. The species was also introduced to Trinidad, Jamaica, Hispaniola, Puerto Rico, Cuba, and Venezuela. This species, like the chestnut munia has been known as the black-headed munia. Immature birds have pale brown upperparts, lack the dark head found in adults, and have uniform buff underparts that can be confused with immatures of other munias such as the scaly-breasted munia.",https://xeno-canto.org/500827/download
1151,,,,,
1152,,,,,
1153,,,,,
1154,,,,,
1155,,,,,
1156,,,,,
1157,Twite,Linaria flavirostris,Fringillidae,The twite is a small brown passerine bird in the finch family Fringillidae.,https://xeno-canto.org/826636/download
1158,Two-barred warbler,Phylloscopus plumbeitarsus,Phylloscopidae,"The two-barred warbler is a bird of the leaf warbler family (Phylloscopidae). The species was first described by Robert Swinhoe in 1861. It was formerly included in the ""Old World warbler"" assemblage. It is closely related to the greenish warbler, to which it was formerly considered conspecific.",https://xeno-canto.org/344968/download
1159,Tytler's leaf warbler,Phylloscopus tytleri,Phylloscopidae,"The Tytler's leaf warbler is a songbird species. Like all leaf warblers, it was formerly placed in the ""Old World warbler"" assemblage, but now belongs to the new leaf-warbler family Phylloscopidae.",https://xeno-canto.org/472933/download
1160,Ultramarine flycatcher,Ficedula superciliaris,Muscicapidae,The ultramarine flycatcher or the white-browed blue flycatcher is a small arboreal Old World flycatcher in the ficedula family that breeds in the foothills of the Himalayas and winters in southern India.,https://xeno-canto.org/420167/download
1161,Upland buzzard,Buteo hemilasius,Accipitridae,The upland buzzard is a species of bird of prey in the family Accipitridae.,https://xeno-canto.org/824432/download
1162,Upland pipit,Anthus sylvanus,Family,The upland pipit is a species of bird in the family Motacillidae.,https://xeno-canto.org/413111/download
1163,Van Hasselt's sunbird,Leptocoma brasiliana,Family,"Van Hasselt's sunbird, is a species of bird in the family Nectariniidae. It is found in Northeast India, Bangladesh and Southeast Asia.",https://xeno-canto.org/356146/download
1164,Variable wheatear,Oenanthe picata,Muscicapidae,"The variable wheatear is a species of bird in the family Muscicapidae. It is found in Afghanistan, Egypt, India, Iran, Kazakhstan, Lebanon, Nepal, Oman, Pakistan, Russia, Tajikistan, Turkmenistan, the United Arab Emirates, and Uzbekistan.",https://xeno-canto.org/113653/download
1165,Variegated laughingthrush,Trochalopteron variegatum,Leiothrichidae,"The variegated laughingthrush is a species of bird in the family Leiothrichidae. It is endemic to the northern regions of the Indian subcontinent, primarily the low-to-mid altitudes of the Himalayas. It ranges across Bhutan, India, Nepal and Tibet.",https://xeno-canto.org/138740/download
1166,,,,,
1167,Velvet-fronted nuthatch,Sitta frontalis,Sittidae,"The velvet-fronted nuthatch is a small passerine bird in the nuthatch family Sittidae found in southern Asia from Nepal, India, Sri Lanka ‍and Bangladesh east to south China and Indonesia. Like other nuthatches, it feeds on insects in the bark of trees, foraging on the trunks and branches and their strongly clawed toes allow them to climb down tree trunks or move on the undersides of horizontal branches. They are found in forests with good tree cover and are often found along with other species in mixed-species foraging flocks. Adult males can be told apart by the black stripe that runs behind and above the eyes. They have a rapid chipping call note. They breed in tree cavities and holes, often created by woodpeckers or barbets.",https://xeno-canto.org/490882/download
1168,Verditer flycatcher,Eumyias thalassinus,Muscicapidae,"The verditer flycatcher is an Old World flycatcher It is found from the Himalayas through Southeast Asia to Sumatra. This species is named after its distinctive shade of copper-sulphate blue and has a dark patch between the eyes and above the bill base. The adult males are intense blue on all areas of the body, except for the black eye-patch and grey vent. Adult females and sub-adults are lighter blue.",https://xeno-canto.org/424483/download
1169,Vernal hanging parrot,Loriculus vernalis,Psittaculidae,"The vernal hanging parrot is a small parrot which is a resident breeder in the Indian subcontinent and some other areas of Southeast Asia. It undergoes local movements, driven mainly by the availability of the fruit, seeds, buds and blossoms that make up its diet. They frequent the banyan tree for the fruit and plantain trees for the nectar from the flowers.",https://xeno-canto.org/490505/download
1170,,,,,
1171,Violet cuckoo,Chrysococcyx xanthorhynchus,Cuculidae,The violet cuckoo is a species of cuckoo in the family Cuculidae.,https://xeno-canto.org/496201/download
1172,,,,,
1173,,,,,
1174,Water pipit,Anthus spinoletta,Motacillidae,The water pipit is a small passerine bird which breeds in the mountains of Southern Europe and the Palearctic eastwards to China. It is a short-distance migrant; many birds move to lower altitudes or wet open lowlands in winter.,https://xeno-canto.org/294585/download
1175,Water rail,Rallus aquaticus,Rallidae,"The water rail is a bird of the rail family which breeds in well-vegetated wetlands across Europe, Asia and North Africa. Northern and eastern populations are migratory, but this species is a permanent resident in the warmer parts of its breeding range. The adult is 23–28 cm (9–11 in) long, and, like other rails, has a body that is flattened laterally, allowing it easier passage through the reed beds it inhabits. It has mainly brown upperparts and blue-grey underparts, black barring on the flanks, long toes, a short tail and a long reddish bill. Immature birds are generally similar in appearance to the adults, but the blue-grey in the plumage is replaced by buff. The downy chicks are black, as with all rails. The former subspecies R. indicus, has distinctive markings and a call that is very different from the pig-like squeal of the western races, and is now usually split as a separate species, the brown-cheeked rail.",https://xeno-canto.org/92323/download
1176,,,,,
1177,,,,,
1178,,,,,
1179,West Himalayan bush warbler,Locustella kashmirensis,Family,The West Himalayan bush warbler is a species of Old World warbler in the family Locustellidae.,https://xeno-canto.org/487095/download
1180,Western barn owl,Tyto alba,Tytonidae,"The western barn owl is usually considered a subspecies group and together with the American barn owl group, the eastern barn owl group, and sometimes the Andaman masked owl make up the barn owl. The cosmopolitan barn owl is recognized by most taxonomic authorities. A few separate them into distinct species, as is done here. The western barn owl is native to Eurasia and Africa.",https://xeno-canto.org/568195/download
1181,Western crowned leaf warbler,Phylloscopus occipitalis,Phylloscopidae,The western crowned warbler is a leaf warbler which breeds in Central Asia. It winters in the forests of the Western Ghats.,https://xeno-canto.org/472925/download
1182,Western jackdaw,Corvus monedula,Corvidae,"The western jackdaw, also known as the Eurasian jackdaw, the European jackdaw, or simply the jackdaw, is a passerine bird in the crow family. Found across Europe, western Asia and North Africa; it is mostly resident, although northern and eastern populations migrate south in the winter. Four subspecies are recognised, which differ mainly in the colouration of the plumage on the head and nape. Linnaeus first described it formally, giving it the name Corvus monedula. The common name derives from the word jack, denoting ""small"", and daw, a less common synonym for ""jackdaw"", and the native English name for the bird.",https://xeno-canto.org/547444/download
1183,Western osprey,Pandion haliaetus,Pandionidae,"The osprey or more specifically the western osprey — also called sea hawk, river hawk, and fish hawk — is a diurnal, fish-eating bird of prey with a cosmopolitan range. It is a large raptor, reaching more than 60 cm (24 in) in length and 180 cm (71 in) across the wings. It is brown on the upperparts and predominantly greyish on the head and underparts.",https://xeno-canto.org/598006/download
1184,Western reef heron,Egretta gularis,Ardeidae,"The western reef heron also called the western reef egret, is a medium-sized heron found in southern Europe, Africa and parts of Asia. It has a mainly coastal distribution and occurs in several plumage forms: a slaty-grey plumage in which it can only be confused with the rather uncommon dark morph of the Little Egret ; a white form which can look very similar to the little egret although the bill tends to be paler and larger and the black form with white throat E. g. gularis of West Africa. There are also differences in size, structure and foraging behaviour. There have been suggestions that the species hybridizes with the Little Egret, and based on this, some authors treat schistacea and gularis as subspecies of Egretta garzetta. Works that consider the Western Reef Heron as a valid species include the nominate gularis and schistacea as subspecies.",https://xeno-canto.org/122994/download
1185,Western tragopan,Tragopan melanocephalus,Phasianidae,The western tragopan or western horned tragopan is a medium-sized brightly plumed pheasant found along the Himalayas from north-eastern districts of Khyber Pakhtunkhwa province in northern Pakistan in the west to Uttarakhand within India to the east. The species is highly endangered and globally threatened.,https://xeno-canto.org/114304/download
1186,Western yellow wagtail,Motacilla flava,Motacillidae,"The western yellow wagtail is a small passerine in the wagtail family Motacillidae, which also includes the pipits and longclaws.",https://xeno-canto.org/500620/download
